name;description;start_date;end_date;owner;notes;is_public;address_id;cover_photo
Designing scalable REST APIs and Open Space;This presentation aims to showcase REST APIs under the hood by looking over some practical real-life examples and some of the constraints necessary for an application to be considered RESTful.;2019-09-18 19:00:00;2019-09-18 21:00:00;4;You can bring your own ideas that you would like to discuss with other participants. Topics may include but not be limited to webservices architecture                                                                                                                       ,microservices etc.;1;6;https://wpdatatables.com/wp-content/uploads/2018/06/restapi-logo.jpg
Calithenics Workout @ Parcul Tineretului;The workout is structured as follows:(1) Warm-up (2) Stretching (3) Calisthenics workout (4) Parkour Basic Skills (5) Cool-down and chill out;2019-09-29 10:00:00;2019-09-29 11:00:00;4;Please try to arrive at least 5 minutes early as we will get started right on time. If you are late just hop on!;1;7;https://www.mensjournal.com/wp-content/uploads/mf/_outdoor_workout_jump_rope.jpg?w=1200
Wine and Street Food Festival;Wine and Street Food Festival este cel  mai mare eveniment de vin si streed food. Evenimentul se desfasoara atat in interior (WINE AREA) cat si in gradinile Palatului Parlamentului (STREET FOOD AREA).;2019-09-27 12:00:00;2019-09-29 22:00:00;4;Pretul unui bilet in zona Street Food este de 15 lei iar pentru Wine 20 de lei.;1;8;https://vinlavin.ro/wp-content/uploads/2018/10/Wine-Festival-Street-Food-.jpg
Art Safari 2019;Expoziția este compusă din lucrări alese din creația marelui pictor Nicolae Tonitza și se va axa pe una dintre temele centrale și preferate de pictor anume pasiunea pentru vârsta copilăriei.;2019-09-27 12:00:00;2019-10-06 21:00:00;2;Bilete: tickets.artsafari.ro;1;9;https://www.artsafari.ro/wp-content/uploads/2018/06/ASB_18_Logo_2019_rred.png
Noaptea Albă a Filmului Românesc;Peste 30 de filme românești si avanpremiere sau întâlniri cu regizori și actori cunoscuți toate într-o singură noapte pe 20 septembrie.;2019-09-20 18:00:00;2019-09-21 04:30:00;2;Locații: Cinema Elvire Popesco Amfiteatrul TNB si Cinema Muzeul Țăranului - Open Air;1;10;https://www.zilesinopti.ro/media/10664486795d7cb092da1872.75469471.jpg/resize?w=750
Board Games Garage Sale;Invitam iubitorii de jocuri sa cumpere sau sa vanda si sa se joace board games in compania altor pasionati dornici de experiente noi.Participantii vor avea acces la toata colectia noastra de board games.;2019-10-09 19:00:00;2019-10-09 22:00:00;4;Taxa de acces la eveniment: 15 lei/persoana - se achita pe loc;1;11;https://www.feeder.ro/wp-content/uploads/2018/12/48046771_1264894300318131_735942448601104384_n.jpg
Septembriada - Bounty Fair ediție de toamnă;Am dat sfoară-n țară să adunăm cei mai grozavi artiști și designeri români care au creații ce completează sentimentul de toamnă.;2019-09-21 10:00:00;2019-09-22 19:00:00;4;Intrare: Accesul se face pe bază de bilet ȋn valoare de 8 lei/ persoană/ zi iar copiii pȃnă ȋn 14 ani au intrarea gratuită. Biletul se achită numerar la intrare și include accesul ȋn zona de tȃrg și zona de ateliere (atelierele au cost separat).;1;12;https://www.fashion8.ro/images/1-2019/septembrie/Bounty-Fair-43-Septembriada-2.jpg
Construind Comunitatea • Orașul Alternativ;Casa Costa-Foru își redeschide porțile pentru patru săptămâni de istorii alternative și interacțiune cu memoria Bucureștiului. Spațiul casei găzduiește un program de expoziții cu prezentări și mese rotunde si ateliere de fotografie.;2019-09-19 18:00:00;2019-09-21 21:00:00;4;Casa Costa-Foru este deschisă de pe 19 septembrie până pe 13 octombrie                                                                                                                                                                ,de joi până duminică.;1;13;https://institute.ro/pictures/2018/09/26/22715.jpg
Cazanele Dunării în Serbia și România;Arhiva de Geografie vă propune un program de drumeții de-a lungul celei mai spectaculoase granițe a țării în care atingem două dintre înălțimile de referință ale Cazanelor Dunării: în prima zi - Ciucarul Mare iar a doua zi - Mali Strbac.;2019-09-28 05:30:00;2019-09-29 23:00:00;4;Atenție! Excursiile noastre se dedică în general persoanelor active din punct de vedere fizic. Intrarea în Serbia se poate face și cu cartea de identitate.;1;14;https://www.turistinfo.ro/static/img/poze_zone/cazanele_dunarii.jpg
Harvest Wine Festival by RoWine;După seria de noi recorduri înregistrate la ultima ediție a RO-Wine | The International Wine Festival of Romania a devenit evident că piața de vinuri premium are nevoie de o dezvoltare orizontală a evenimentelor de acest gen.;2019-09-28 12:00:00;2019-09-29 20:00:00;4;Bilete: romaniawinefestival.ro;1;15;https://media.business-review.eu/unsafe/420x250/smart/filters:contrast(5):quality(80)/business-review.eu/wp-content/uploads/2019/09/Poster_HarvestFestival.jpg

